Player,Pos,Team,Opp,Start/Line,PP Unit,Goals,Win %,Salary,Ceiling,Avg,FC Proj,My Proj,Exp.,Used,Con.,Value
Richard Panik,W,WSH,@ STL,3,1,2.48,41%,3700,44.2,7.2,6.39,6.39,100,,45,1.73
Oskar Sundqvist,C,STL,vs WSH,4,,3.02,59%,3700,28.8,4.3,6.40,6.40,100,,31,1.73
Rudolfs Balcers,W,OTT,@ TOR,,,2.37,26.5%,3700,0.00,5.7,0.00,0.00,100,,45,0.00
Adam Larsson,D,EDM,vs VAN,1,,2.97,57.4%,3600,38.4,7.1,7.69,7.69,100,,58,2.14
Alex Steen,W,STL,vs WSH,4,,3.02,59%,3600,45.3,10.3,4.35,4.35,100,,54,1.21
Brandon Sutter,C,VAN,@ EDM,3,,2.53,42.6%,3600,40.0,8.2,5.48,5.48,100,,52,1.52
Alex Biega,D,VAN,@ EDM,,,2.53,42.6%,3600,0.00,3.9,0.00,0.00,100,,38,0.00
Jake Virtanen,W,VAN,@ EDM,3,,2.53,42.6%,3600,32.0,6.1,5.45,5.45,100,,45,1.51
Nikita Zaitsev,D,OTT,@ TOR,1,2,2.37,26.5%,3600,28.0,6.8,4.90,4.90,100,,57,1.36
Marcus Sorensen,W,SJ,@ VGK,3,,2.81,37.7%,3600,31.2,4.9,4.74,4.74,100,,33,1.32
Cody Glass,C,VGK,vs SJ,2,1,3.69,62.3%,3600,3.2,0.3,6.96,6.96,100,,0,1.93
Drake Batherson,W,OTT,@ TOR,3,1,2.37,26.5%,3600,23.7,6.0,5.33,5.33,100,,44,1.48
Derrick Pouliot,D,STL,vs WSH,,,3.02,59%,3500,0.00,4.8,0.00,0.00,100,,46,0.00
Melker Karlsson,W,SJ,@ VGK,4,1,2.81,37.7%,3500,37.6,5.9,2.69,2.69,100,,45,0.77
Jonathon Merrill,D,VGK,vs SJ,2,,3.69,62.3%,3500,26.4,3.9,7.41,7.41,100,,44,2.12
Radko Gudas,D,WSH,@ STL,3,,2.48,41%,3500,52.8,7.6,6.04,6.04,100,,59,1.73
Riley Sheahan,C,EDM,vs VAN,,,2.97,57.4%,3500,0.00,5.9,0.00,0.00,100,,48,0.00
Dalton Prout,D,SJ,@ VGK,3,,2.81,37.7%,3500,20.8,2.8,1.65,1.65,100,,31,0.47
Carl Hagelin,W,WSH,@ STL,3,,2.48,41%,3500,41.3,7.8,6.68,6.68,100,,53,1.91
Cody Goloubef,D,OTT,@ TOR,,,2.37,26.5%,3500,0.00,4.2,0.00,0.00,100,,41,0.00
Mark Borowiecki,D,OTT,@ TOR,3,,2.37,26.5%,3500,20.0,4.3,4.42,4.42,100,,52,1.26
Jordie Benn,D,VAN,@ EDM,3,,2.53,42.6%,3500,29.6,6.3,6.61,6.61,100,,60,1.89
Nick Holden,D,VGK,vs SJ,3,,3.69,62.3%,3500,30.4,5.8,3.49,3.49,100,,50,1
Deryk Engelland,D,VGK,vs SJ,3,,3.69,62.3%,3500,33.6,6.3,10.07,10.07,100,,57,2.88
Kris Russell,D,EDM,vs VAN,3,,2.97,57.4%,3500,49.0,9.2,7.76,7.76,100,,63,2.22
Jason Spezza,C,TOR,vs OTT,4,2,4.13,73.5%,3500,48.8,9.4,6.47,6.47,100,,55,1.85
Ron Hainsey,D,OTT,@ TOR,2,,2.37,26.5%,3500,32.0,6.4,6.14,6.14,100,,58,1.75
Chris Tanev,D,VAN,@ EDM,2,,2.53,42.6%,3500,25.6,6.2,3.23,3.23,100,,57,0.92
Robert Bortuzzo,D,STL,vs WSH,3,,3.02,59%,3500,20.0,4.6,3.20,3.20,100,,52,0.91
Carl Gunnarsson,D,STL,vs WSH,,,3.02,59%,3500,0.00,4.3,0.00,0.00,100,,48,0.00
Martin Marincin,D,TOR,vs OTT,3,,4.13,73.5%,3500,24.0,3.4,4.75,4.75,100,,38,1.36
Brandon Manning,D,EDM,vs VAN,,,2.97,57.4%,3500,0.00,5.0,0.00,0.00,100,,47,0.00
Sammy Blais,W,STL,vs WSH,2,,3.02,59%,3500,28.8,3.4,5.31,5.31,100,,13,1.52
Ethan Bear,D,EDM,vs VAN,2,2,2.97,57.4%,3500,33.6,7.2,8.05,8.05,100,,42,2.3
